name,type,ProductServices
"Abbott, Mcbride and Edwards",Company,Unknown
Abbott-Gomez,Company,Furniture and home accessories
Abbott-Harrison,Company,Food products
Abbott-Ibarra,Company,Unknown
Abbott-Sullivan,Company,Unknown
Acevedo and Sons,Company,"Fish, crustaceans and molluscs"
Acevedo PLC,Company,Luggage and traveling bags
"Acevedo, Lloyd and Young",Company,"Industrial fabrics, home furnishing and outdoor fabrics, and apparel and fashion fabrics, as well as short fiber fabrics, long fiber fabrics and yarns; Nylon textile, polyester textiles, olefin fabric, vinyl mesh fabric, recycle polyester, spun polyester fabric, dyeing textile, yarn dyed, recycled nylon; Special process fabric, including PVC lamination, CPU laminating, PU coating, AC coating, flame proof, UV-cut, anti-germs and mildew proof, durable water repellent, water absorption and dirt proof, water proof and breathable, embossing, pressing, printing, and form padded with tricot"
"Acevedo, Miller and Edwards",Company,Battery chargers
"Acevedo, Thompson and Myers",Company,Electronic interconnect solutions
Acosta LLC,Company,"Serves the domestic and international marketplace with a complementary range of premium food ingredients for the manufacturing, foodservice, and retail segments"
"Acosta, Campbell and Leblanc",LogisticsCompany,"Operates tramp vessels for transporting various bulk cargoes, such as grain, coal, iron ore, etc. Ranging from 60,000 DWT to 80,000 DWT; and tramp (handymax) vessels for transporting fertilizers, as well iron ore, salt, grain, coal, and silica sand; Operates a fleet of four VLCCs and two crude tankers; seven MRs and two chemical tankers for transporting gasoline, gas oil, naphtha, methanol, and palm oils; and tramp (cape) vessels for the transportation of dry cargoes, including coal and iron ore with capacities ranging from 100,000 DWT to 200,000 DWT; Offers transportation services with bulk cargoes, cement, iron ore, coal, scrap, petcoke, sulphur, and hbi; sugar transportation; and conventional liner services throughout various ports and countries, as well as heavy-lift services; Provides dangerous and over-sized cargo services"
"Acosta, Fields and Moore",FishingCompany,Seafood frozen
Acosta-Buchanan,Company,"Offers a wide selection of grocery products, including fresh produce, cheese, milk and eggs, fresh and frozen beef and veal, fresh and frozen pork and lamb, fresh and frozen poultry, fresh and frozen poultry, fresh and frozen seafood, fruit salad, prepared salads, hors d' oeuvres, coffee, tea, hot chocolate, frozen juice, can/bottle juice and water soda; Wholesales bread, pizza, pizza dough, cakes, cookie, pastries, pies, dessert mixes, dry pasta, frozen pasta, canned soup, canned potatoes, French fries, hashbrowns, pot pancake, dry potato mixes, baking supplies, bar supplies, condiments, cereal, dressings, canned fish, sauces, glazes, oils, shortening, pickles, olives, rice, beans, snack food, spices, alum pans, foils, bags, cleaning supply, detergents, cups, lids, disposables, equipment, plates, trays, bowls, towels, napkins, tissue, and waxes and film"
Acosta-Flores,FishingCompany,Fish and seafood products
Acosta-Madden,Company,Unknown
Adams and Sons,Company,Fisheries products
Adams Group,Company,Unknown
Adams LLC,Company,Steel products
Adams PLC,FishingCompany,Seafood product preparation and packaging
"Adams, Boyer and Osborne",Company,Unknown
"Adams, Brown and Fuentes",Company,Unknown
"Adams, Bryant and Johnson",Company,Unknown
"Adams, Cole and Waters",Company,Unknown
"Adams, Gross and Marshall",Company,Unknown
"Adams, Hall and Thompson",Company,Unknown
"Adams, Harris and Floyd",Company,Unknown
"Adams, Hernandez and Butler",Company,Unknown
"Adams, Hernandez and Vaughn",Company,Unknown
"Adams, Jones and Miranda",Company,"Assembly and Sourcing, Electronic Component Kitting Specialists, PCB Build [source: freelance researcher]"
"Adams, Jordan and Lynch",Company,Unknown
"Adams, Montgomery and Williams",Company,High precision flat grinding polishers
"Adams, Simmons and Carter",Company,Unknown
"Adams, Smith and Wright",Company,Unknown
"Adams, Stephens and Smith",Company,Unknown
Adams-Byrd,Company,"Offers a wide range of products that include beverages, fruits and vegetables, dairy and ice cream products, frozen food products, meat and meat products, dry groceries, bakery products, salad dressings and other related products"
Adams-Friedman,Company,Unknown
Adams-Gonzalez,Company,Unknown
Adams-Hall,Company,Unknown
Adams-Hernandez,Company,Unknown
Adams-Larson,Company,Marine coatings
Adams-Lewis,Company,Unknown
Adams-Murray,Company,Unknown
Adams-Nguyen,Company,Unknown
Adams-Perkins,Company,Printed circuit boards
Adkins LLC,FishingCompany,"Preparation and packaging seafoods (Gathering and canning seafood, smoking, salting, and drying seafood, eviscerating fresh fish by removing heads, fins, scales, bones, and entrails, shucking and packing fresh shellfish, processing marine fats and oils and freezing seafood)"
Adkins Ltd,FishingCompany,Seafood products
